web-scraper-order,web-scraper-start-url,monsterName,paginationLinks,paginationLinks-href,activeName2,activeDescription2,monsterId,leaderName,leaderDescription,attribute,race,star,monsterLink,monsterLink-href,activeName,activeDescription
"1556372619-5640","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","花精靈","051-100","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92051-100","<img src=""https://vignette.wikia.nocookie.net/tos/images/2/2a/070i.png/revision/latest/scale-to-width-down/40?cb=20140618133910&amp;path-prefix=zh"" 	 alt=""070i""  	class="""" 	 	data-image-key=""070i.png"" 	data-image-name=""070i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/2/2a/070i.png/revision/latest/scale-to-width-down/40?cb=20140618133910&amp;path-prefix=zh"" 	 alt=""070i""  	class="""" 	 	data-image-key=""070i.png"" 	data-image-name=""070i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/5/50/EvoPlus.png/revision/latest?cb=20130131050700&amp;path-prefix=zh"" 	 alt=""EvoPlus""  	class="""" 	 	data-image-key=""EvoPlus.png"" 	data-image-name=""EvoPlus.png"" 	 	 width=""24""  	 height=""24""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f4/243i.png/revision/latest/scale-to-width-down/40?cb=20140618183030&amp;path-prefix=zh"" 	 alt=""243i""  	class="""" 	 	data-image-key=""243i.png"" 	data-image-name=""243i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f4/243i.png/revision/latest/scale-to-width-down/40?cb=20140618183030&amp;path-prefix=zh"" 	 alt=""243i""  	class="""" 	 	data-image-key=""243i.png"" 	data-image-name=""243i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/c/c1/071i.png/revision/latest/scale-to-width-down/40?cb=20140618134030&amp;path-prefix=zh"" 	 alt=""071i""  	class="""" 	 	data-image-key=""071i.png"" 	data-image-name=""071i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","070","木之制裁","木之制裁
提升木屬性對水屬性目標的攻擊力 (包括主動技）","木","妖精類","2★","花精靈","https://tos.fandom.com/zh/wiki/%E8%8A%B1%E7%B2%BE%E9%9D%88","生命補充","生命補充
回復自身回復力 5 倍的生命力"
"1556372377-5281","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","公爵奈寶尼","401-450","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92401-450","<img src=""https://vignette.wikia.nocookie.net/tos/images/f/fb/016i.png/revision/latest/scale-to-width-down/40?cb=20140618121530&amp;path-prefix=zh"" 	 alt=""016i""  	class="""" 	 	data-image-key=""016i.png"" 	data-image-name=""016i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/f/fb/016i.png/revision/latest/scale-to-width-down/40?cb=20140618121530&amp;path-prefix=zh"" 	 alt=""016i""  	class="""" 	 	data-image-key=""016i.png"" 	data-image-name=""016i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/4/47/411i.png/revision/latest/scale-to-width-down/40?cb=20140618220151&amp;path-prefix=zh"" 	 alt=""411i""  	class="""" 	 	data-image-key=""411i.png"" 	data-image-name=""411i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","411","聖之怒","聖之怒
光屬性攻擊力 2 倍","光","人類","6★","公爵奈寶尼","https://tos.fandom.com/zh/wiki/%E5%85%AC%E7%88%B5%E5%A5%88%E5%AF%B6%E5%B0%BC","界限突破 ‧ 光","界限突破 ‧ 光
額外增加 3 行符石，大幅延長移動符石時間至 10 秒，並提升光屬性攻擊力"
"1556372267-4960","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","牧神 ‧ 潘","701-750","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92701-750","<img src=""https://vignette.wikia.nocookie.net/tos/images/4/40/405i.png/revision/latest/scale-to-width-down/40?cb=20140618201502&amp;path-prefix=zh"" 	 alt=""405i""  	class="""" 	 	data-image-key=""405i.png"" 	data-image-name=""405i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/4/40/405i.png/revision/latest/scale-to-width-down/40?cb=20140618201502&amp;path-prefix=zh"" 	 alt=""405i""  	class="""" 	 	data-image-key=""405i.png"" 	data-image-name=""405i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/e/e8/708i.png/revision/latest/scale-to-width-down/40?cb=20141219123726&amp;path-prefix=zh"" 	 alt=""708i""  	class="""" 	 	data-image-key=""708i.png"" 	data-image-name=""708i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","708","森之力","森之力
木屬性攻擊力 1.5 倍","木","獸類","4★","牧神 ‧ 潘","https://tos.fandom.com/zh/wiki/%E7%89%A7%E7%A5%9E_%E2%80%A7_%E6%BD%98","木屬印記","木屬印記
木屬性傷害持續提升，直至沒有木屬性傷害"
"1556372170-4296","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","傳令步兵","1401-1450","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921401-1450","","","1444","聖之怒","聖之怒
光屬性攻擊力 2 倍","光","人類","3★","傳令步兵","https://tos.fandom.com/zh/wiki/%E5%82%B3%E4%BB%A4%E6%AD%A5%E5%85%B5","兵卒變心術 ‧ 暗殞","兵卒變心術 ‧ 暗殞
隨機將 3 粒暗符石轉化為心符石"
"1556372080-3590","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","綻放榮耀 ‧ 矢車菊(動態造型)","S51-S100","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92S51-S100","<img src=""https://vignette.wikia.nocookie.net/tos/images/e/e4/1601i.png/revision/latest/scale-to-width-down/40?cb=20171026180509&amp;path-prefix=zh"" 	 alt=""1601i""  	class="""" 	 	data-image-key=""1601i.png"" 	data-image-name=""1601i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/e/e4/1601i.png/revision/latest/scale-to-width-down/40?cb=20171026180509&amp;path-prefix=zh"" 	 alt=""1601i""  	class="""" 	 	data-image-key=""1601i.png"" 	data-image-name=""1601i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/9/9c/6097i.png/revision/latest/scale-to-width-down/40?cb=20180710121509&amp;path-prefix=zh"" 	 alt=""6097i""  	class="""" 	 	data-image-key=""6097i.png"" 	data-image-name=""6097i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","6097","妖嬈之藍","妖嬈之藍
水屬性及妖精類攻擊力 4.5 倍，消除 2 組或以上的水符石時，攻擊力提升至 5 倍。消除心符石時，水屬性及妖精類攻擊力額外提升 1.5 倍。沒有消除水符石時 (只計算首批消除的符石)，所受傷害減少 35%","水","妖精類","6★","綻放榮耀 ‧ 矢車菊(動態造型)","https://tos.fandom.com/zh/wiki/%E7%B6%BB%E6%94%BE%E6%A6%AE%E8%80%80_%E2%80%A7_%E7%9F%A2%E8%BB%8A%E8%8F%8A(%E5%8B%95%E6%85%8B%E9%80%A0%E5%9E%8B)","逆我盡滅","逆我盡滅
1 回合內，全隊攻擊力 1.3 倍，並直接引爆場上所有非克制敵人屬性的屬性符石，以掉落敵人屬性以外的符石；若隊伍中只有妖精類成員時，1 回合內，連擊 (Combo) 數目增加 8"
"1556372072-3500","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","枯旱遺志 ‧ 含羞草(動態造型)","S101-S150","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92S101-S150","","","6101","藤木怒嘯","藤木怒嘯
木屬性攻擊力 3.5 倍","木","妖精類","6★","枯旱遺志 ‧ 含羞草(動態造型)","https://tos.fandom.com/zh/wiki/%E6%9E%AF%E6%97%B1%E9%81%BA%E5%BF%97_%E2%80%A7_%E5%90%AB%E7%BE%9E%E8%8D%89(%E5%8B%95%E6%85%8B%E9%80%A0%E5%9E%8B)","摧滅 ‧ 無聲","摧滅 ‧ 無聲
1 回合內，所受傷害減少 50%；全隊攻擊力 1.5 倍，妖精攻擊力則提升至 2 倍。回合結束時，若我方生命力為 50% 或以上，當前技能 CD 減少 5"
"1556372072-3525","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","末日屍龍 ‧ 尼德霍格(動態造型)","S101-S150","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92S101-S150","靈之復甦 ‧ 龍","靈之復甦 ‧ 龍
回復相當於龍類成員 1.5 倍的生命力","6129","歃血之盟誓","歃血之盟誓
龍類攻擊力 3.5 倍及生命力 2 倍，每回合扣除自身總生命力 10%","木","龍類","8★","末日屍龍 ‧ 尼德霍格(動態造型)","https://tos.fandom.com/zh/wiki/%E6%9C%AB%E6%97%A5%E5%B1%8D%E9%BE%8D_%E2%80%A7_%E5%B0%BC%E5%BE%B7%E9%9C%8D%E6%A0%BC(%E5%8B%95%E6%85%8B%E9%80%A0%E5%9E%8B)","捨生力敵","捨生力敵
消秏現有 75% 生命力；1 回合內，木屬性或龍類攻擊力 2.5 倍"
"1556372307-5216","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","希臘神幻化","501-550","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92501-550","自然德魯依","自然德魯依","null","百鬼夜行 ‧ 惡鬼","百鬼夜行 ‧ 惡鬼","null","null","北歐神","null","","劍靈","劍靈"
"1556372157-4189","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","斷災解危‧ 大犬與小犬座","1501-1550","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921501-1550","<img src=""https://vignette.wikia.nocookie.net/tos/images/0/04/1542i.png/revision/latest/scale-to-width-down/40?cb=20170826122954&amp;path-prefix=zh"" 	 alt=""1542i""  	class="""" 	 	data-image-key=""1542i.png"" 	data-image-name=""1542i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/0/04/1542i.png/revision/latest/scale-to-width-down/40?cb=20170826122954&amp;path-prefix=zh"" 	 alt=""1542i""  	class="""" 	 	data-image-key=""1542i.png"" 	data-image-name=""1542i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/d/da/1543i.png/revision/latest/scale-to-width-down/40?cb=20170826122955&amp;path-prefix=zh"" 	 alt=""1543i""  	class="""" 	 	data-image-key=""1543i.png"" 	data-image-name=""1543i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","1543","神聖之強權 ‧ 獸","神聖之強權 ‧ 獸
光屬性攻擊力 2 倍及回復力 1.5 倍；光屬性獸類攻擊力 4 倍","光","獸類","6★","斷災解危‧ 大犬與小犬座","https://tos.fandom.com/zh/wiki/%E6%96%B7%E7%81%BD%E8%A7%A3%E5%8D%B1%E2%80%A7_%E5%A4%A7%E7%8A%AC%E8%88%87%E5%B0%8F%E7%8A%AC%E5%BA%A7","月影強念","月影強念
光及暗符石轉化為強化符石。若隊伍中有 3 個或以上的獸類成員時，將強化符石轉化為獸族符石"
"1556372222-4709","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","魔源繼主 ‧ 奧茲瑪","1001-1050","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921001-1050","","","1050","魔之狂怒","魔之狂怒
魔族攻擊力 2.5 倍","火","魔族","6★","魔源繼主 ‧ 奧茲瑪","https://tos.fandom.com/zh/wiki/%E9%AD%94%E6%BA%90%E7%B9%BC%E4%B8%BB_%E2%80%A7_%E5%A5%A7%E8%8C%B2%E7%91%AA","星火棋陣","星火棋陣
1 回合內，消除 1 至 2 組火符石時，延遲全體敵人行動 1 回合；消除 3 組或以上的火符石時，全隊攻擊力 2 倍。回合結束時，隨機將 6 至 8 粒符石轉化為火符石"
"1556372183-4382","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","血慾永生 ‧ 伊莉莎白","1301-1350","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921301-1350","","","1326","戾吞天下 ‧ 水","戾吞天下 ‧ 水
水屬性攻擊力 3 倍；每次消除 1 組水符石，水屬性攻擊力持續提升，消除 3 組可提升至最高 6 倍。連續 2 回合沒有消除水符石，攻擊力減少","水","魔族","7★","血慾永生 ‧ 伊莉莎白","https://tos.fandom.com/zh/wiki/%E8%A1%80%E6%85%BE%E6%B0%B8%E7%94%9F_%E2%80%A7_%E4%BC%8A%E8%8E%89%E8%8E%8E%E7%99%BD","狂魔之戾 ‧ 血誓","狂魔之戾 ‧ 血誓
全隊攻擊力 1.5 倍，技能發動回合擊斃敵人的數量總和，將轉化為效果持續回合 (主動技能除外)；若有擊斃敵人時，該回合不會扣減技能持續回合"
"1556372103-3738","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","最強之貓 ‧ 龐沙利利","1951-2000","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921951-2000","","","1968","沒有技能","沒有技能
沒有技能","木","妖精類","6★","最強之貓 ‧ 龐沙利利","https://tos.fandom.com/zh/wiki/%E6%9C%80%E5%BC%B7%E4%B9%8B%E8%B2%93_%E2%80%A7_%E9%BE%90%E6%B2%99%E5%88%A9%E5%88%A9","巨劍降臨","巨劍降臨
將最頂 1 橫行的符石轉化為木強化符石；1 回合內，單體攻擊轉化為全體攻擊；消除 3 種或以上屬性符石時，自身攻擊力 8 倍 (攻擊力不可與其他成員共享)"
"1556372050-3392","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","煙霧鏡 ‧ 特斯卡特利波卡","P01-P50","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92P01-P50","","","7010","妖精之舞","妖精之舞
妖精類攻擊力及回復力 2 倍","暗","妖精類","7★","煙霧鏡 ‧ 特斯卡特利波卡","https://tos.fandom.com/zh/wiki/%E7%85%99%E9%9C%A7%E9%8F%A1_%E2%80%A7_%E7%89%B9%E6%96%AF%E5%8D%A1%E7%89%B9%E5%88%A9%E6%B3%A2%E5%8D%A1","靈之回饋","靈之回饋
全隊攻擊力 1.5 倍，直至沒有消除心符石 (只計算首批消除的符石)。效果持續期間技能不會冷卻"
"1556372120-3854","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","雪菜","1801-1850","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921801-1850","","","1807","三界之力","三界之力
隊伍中只有人類、妖精類或魔族成員時，全隊攻擊力 4.5 倍","水","妖精類","6★","雪菜","https://tos.fandom.com/zh/wiki/%E9%9B%AA%E8%8F%9C","冰之淚","冰之淚
1 回合內，凍結敵方全體，使受影響目標無法行動並轉為水屬性，效果期間必然延長移動符石時間 5 秒"
"1556372377-5293","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","異域法眼","401-450","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92401-450","","","423","木之防護","木之防護
木屬性傷害減少 30%","木","強化素材","1★","異域法眼","https://tos.fandom.com/zh/wiki/%E7%95%B0%E5%9F%9F%E6%B3%95%E7%9C%BC","旋風一擊","旋風一擊
對單一敵人造成 5 倍木屬性傷害"
"1556372442-5404","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","花冠貴婦","301-350","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92301-350","<img src=""https://vignette.wikia.nocookie.net/tos/images/c/c1/071i.png/revision/latest/scale-to-width-down/40?cb=20140618134030&amp;path-prefix=zh"" 	 alt=""071i""  	class="""" 	 	data-image-key=""071i.png"" 	data-image-name=""071i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/c/c1/071i.png/revision/latest/scale-to-width-down/40?cb=20140618134030&amp;path-prefix=zh"" 	 alt=""071i""  	class="""" 	 	data-image-key=""071i.png"" 	data-image-name=""071i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/8/89/336i.png/revision/latest/scale-to-width-down/40?cb=20140618192624&amp;path-prefix=zh"" 	 alt=""336i""  	class="""" 	 	data-image-key=""336i.png"" 	data-image-name=""336i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","336","木之制裁","木之制裁
提升木屬性對水屬性目標的攻擊力 (包括主動技）","木","妖精類","4★","花冠貴婦","https://tos.fandom.com/zh/wiki/%E8%8A%B1%E5%86%A0%E8%B2%B4%E5%A9%A6","生命治癒","生命治癒
回復自身回復力 15 倍的生命力"
"1556372518-5484","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","黃昏號角洛基","201-250","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92201-250","<img src=""https://vignette.wikia.nocookie.net/tos/images/6/60/209i.png/revision/latest/scale-to-width-down/40?cb=20140618181520&amp;path-prefix=zh"" 	 alt=""209i""  	class="""" 	 	data-image-key=""209i.png"" 	data-image-name=""209i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/6/60/209i.png/revision/latest/scale-to-width-down/40?cb=20140618181520&amp;path-prefix=zh"" 	 alt=""209i""  	class="""" 	 	data-image-key=""209i.png"" 	data-image-name=""209i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/d/d2/210i.png/revision/latest/scale-to-width-down/40?cb=20140618181616&amp;path-prefix=zh"" 	 alt=""210i""  	class="""" 	 	data-image-key=""210i.png"" 	data-image-name=""210i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","210","邪之怒","邪之怒
暗屬性攻擊力 2 倍","暗","神族","6★","黃昏號角洛基","https://tos.fandom.com/zh/wiki/%E9%BB%83%E6%98%8F%E8%99%9F%E8%A7%92%E6%B4%9B%E5%9F%BA","符石強化 ‧ 暗","符石強化 ‧ 暗
暗符石轉化為暗強化符石"
"1556372035-3308","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","浪淘女公爵 · 威沛","M01-M50","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92M01-M50","<img src=""https://vignette.wikia.nocookie.net/tos/images/e/e6/9001i.png/revision/latest/scale-to-width-down/40?cb=20140618154300&amp;path-prefix=zh"" 	 alt=""9001i""  	class="""" 	 	data-image-key=""9001i.png"" 	data-image-name=""9001i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","<img src=""https://vignette.wikia.nocookie.net/tos/images/e/e6/9001i.png/revision/latest/scale-to-width-down/40?cb=20140618154300&amp;path-prefix=zh"" 	 alt=""9001i""  	class="""" 	 	data-image-key=""9001i.png"" 	data-image-name=""9001i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/f/f1/EvoArrow.png/revision/latest/scale-to-width-down/30?cb=20180329210951&amp;path-prefix=zh"" 	 alt=""EvoArrow""  	class="""" 	 	data-image-key=""EvoArrow.png"" 	data-image-name=""EvoArrow.png"" 	 	 width=""30""  	 height=""23""  	 	 	 	> <img src=""https://vignette.wikia.nocookie.net/tos/images/0/05/9002i.png/revision/latest/scale-to-width-down/40?cb=20140618154312&amp;path-prefix=zh"" 	 alt=""9002i""  	class="""" 	 	data-image-key=""9002i.png"" 	data-image-name=""9002i.png"" 	 	 width=""40""  	 height=""40""  	 	 	 	>","9002","妖精之狂怒","妖精之狂怒
妖精類攻擊力 2.5 倍","水","妖精類","6★","浪淘女公爵 · 威沛","https://tos.fandom.com/zh/wiki/%E6%B5%AA%E6%B7%98%E5%A5%B3%E5%85%AC%E7%88%B5_%C2%B7_%E5%A8%81%E6%B2%9B","元素護壁","元素護壁
3 回合內，所受傷害減少 30%，並有 70 % 迴避敵人的攻擊"
"1556372216-4628","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%92001-050","愛葛莎","1051-1100","https://tos.fandom.com/zh/wiki/%E5%AF%B5%E7%89%A9%E5%9C%96%E9%91%921051-1100","","","1072","聖之怒","聖之怒
光屬性攻擊力 2 倍","光","人類","6★","愛葛莎","https://tos.fandom.com/zh/wiki/%E6%84%9B%E8%91%9B%E8%8E%8E","轉攻為守 ‧ 強","轉攻為守 ‧ 強
隨機將 3 粒符石轉化為心強化符石，使用後有一定機會可即時再次發動技能"
